Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,"Blainville, Quebec",
shadow,Shadow,Size,29,,,,,,0,-2
shadow,Shadow,Size,30,,,,,,-1,-3
shadow,Shadow,Size,31,,,,,,0,-2
shadow,Shadow,Size,32,,,,,,0,-2
shadow,Shadow,Size,33,,,,,,0,-2
shadow,Shadow,Size,34,,,,,,0,-2
shadow,Shadow,Size,35,,,,,,0,-2
shadow,Shadow,Size,36,,,,,,0,-2
shadow,Shadow,Size,37,,,,,,0,-2
tess,Tess,Size,2,,,,,,5,3
tess,Tess,Size,3,,,,,,5,3
tess,Tess,Size,4,,,,,,5,3
tess,Tess,Size,5,,,,,,11,9
tess,Tess,Size,6,,,,,,8,6
tess,Tess,Size,7,,,,,,6,4
tess,Tess,Size,8,,,,,,26,24
tess,Tess,Size,9,,,,,,6,4
tess,Tess,Size,10,,,,,,8,6
tess,Tess,Size,11,,,,,,4,2
tom,Tom,Size,6,,,,,,66,64
tom,Tom,Size,7,,,,,,132,130
tom,Tom,Size,8,,,,,,150,148
tom,Tom,Size,9,,,,,,197,195
tom,Tom,Size,10,,,,,,168,166
tom,Tom,Size,11,,,,,,91,89
tom,Tom,Size,12,,,,,,25,23
tom,Tom,Size,13,,,,,,16,14
zoe,Zoe,Size,2,,,,,,0,-2
zoe,Zoe,Size,3,,,,,,3,1
zoe,Zoe,Size,4,,,,,,3,1
zoe,Zoe,Size,5,,,,,,13,11
zoe,Zoe,Size,6,,,,,,7,5
zoe,Zoe,Size,7,,,,,,55,53
zoe,Zoe,Size,8,,,,,,54,52
zoe,Zoe,Size,9,,,,,,27,25
zoe,Zoe,Size,10,,,,,,30,28
zoe,Zoe,Size,11,,,,,,8,6
zoe-junior,Zoe Junior,Size,1,,,,,,8,6
zoe-junior,Zoe Junior,Size,10,,,,,,14,12
zoe-junior,Zoe Junior,Size,11,,,,,,13,11
zoe-junior,Zoe Junior,Size,12,,,,,,22,20
zoe-junior,Zoe Junior,Size,13,,,,,,19,17
